----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                Marker lineage            # genomes   # markers   # marker sets    0     1    2   3   4   5+   Completeness   Contamination   Strain heterogeneity  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  metabat.29      p__Cyanobacteria (UID2189)          82         579           450         11   565   3   0   0   0       97.56            0.67               0.00          
  metabat.56      o__Clostridiales (UID1120)         304         247           141        172    71   4   0   0   0       33.22            1.77               0.00          
  metabat.57        k__Bacteria (UID3060)            138         338           246        230   108   0   0   0   0       30.28            0.00               0.00          
  metabat.38         k__Bacteria (UID203)            5449        104            58         85    19   0   0   0   0       29.31            0.00               0.00          
  metabat.3    c__Deltaproteobacteria (UID3216)       83         247           155        169    77   1   0   0   0       28.18            0.13               0.00          
  metabat.12        s__algicola (UID2846)             47         571           303        367   204   0   0   0   0       27.44            0.00               0.00          
  metabat.45     p__Proteobacteria (UID3061)         115         395           260        270   125   0   0   0   0       26.77            0.00               0.00          
  metabat.33      o__Clostridiales (UID1212)         172         263           149        198    65   0   0   0   0       22.60            0.00               0.00          
  metabat.70         k__Bacteria (UID203)            5449        104            58         90    14   0   0   0   0       22.41            0.00               0.00          
  metabat.16         k__Bacteria (UID203)            5449        104            58         88    16   0   0   0   0       21.55            0.00               0.00          
  metabat.61         k__Bacteria (UID203)            5449        102            56         87    15   0   0   0   0       21.43            0.00               0.00          
  metabat.65   c__Deltaproteobacteria (UID3216)       83         247           155        185    62   0   0   0   0       20.79            0.00               0.00          
  metabat.53        k__Bacteria (UID3060)            138         338           246        260    78   0   0   0   0       19.73            0.00               0.00          
  metabat.24         k__Bacteria (UID203)            5449        103            57         91    12   0   0   0   0       17.54            0.00               0.00          
  metabat.10         k__Bacteria (UID203)            5449        104            58         94    10   0   0   0   0       15.52            0.00               0.00          
  metabat.41   c__Deltaproteobacteria (UID3218)       61         284           169        238    46   0   0   0   0       15.12            0.00               0.00          
  metabat.21        s__algicola (UID2846)             47         571           303        476    94   1   0   0   0       13.40            0.01               0.00          
  metabat.54         k__Bacteria (UID203)            5449        104            58         93    11   0   0   0   0       13.09            0.00               0.00          
  metabat.35   c__Deltaproteobacteria (UID3218)       61         284           169        223    60   1   0   0   0       12.59            0.02               0.00          
  metabat.39         k__Bacteria (UID203)            5449        104            58         96    8    0   0   0   0       12.07            0.00               0.00          
  metabat.17         k__Bacteria (UID203)            5449        103            58         96    7    0   0   0   0       12.07            0.00               0.00          
  metabat.11    f__Rhodobacteraceae (UID3360)         56         582           313        506    74   2   0   0   0       11.60            0.16               0.00          
  metabat.48         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0       10.50            0.00               0.00          
  metabat.63         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0       10.34            0.00               0.00          
  metabat.51         k__Bacteria (UID203)            5449        104            58         98    6    0   0   0   0       10.34            0.00               0.00          
  metabat.18         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0        9.48            0.00               0.00          
  metabat.8          k__Bacteria (UID203)            5449        102            56         96    6    0   0   0   0        8.93            0.00               0.00          
  metabat.47         k__Bacteria (UID203)            5449        104            58         98    6    0   0   0   0        8.62            0.00               0.00          
  metabat.22             root (UID1)                 5656         56            24         54    2    0   0   0   0        8.33            0.00               0.00          
  metabat.9          k__Bacteria (UID203)            5449        104            58         99    5    0   0   0   0        6.90            0.00               0.00          
  metabat.6          k__Bacteria (UID203)            5449        104            58         95    9    0   0   0   0        6.90            0.00               0.00          
  metabat.46         k__Bacteria (UID203)            5449        104            58         99    5    0   0   0   0        6.90            0.00               0.00          
  metabat.68      o__Clostridiales (UID1212)         172         263           149        219    44   0   0   0   0        6.71            0.00               0.00          
  metabat.37         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0        5.17            0.00               0.00          
  metabat.64             root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.50             root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.2              root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.15             root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.58             root (UID1)                 5656         56            24         54    2    0   0   0   0        2.08            0.00               0.00          
  metabat.7              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.69             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.67             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.66             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.62             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.60             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.59             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.55             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.52             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.5              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.49             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
